step:15000 learning_rate= 0.004398 ctc_loss= 0.310022 sequence_distance= 0.000000 train_accuracy= 1.000000
step:15100 learning_rate= 0.003518 ctc_loss= 0.671600 sequence_distance= 0.020833 train_accuracy= 0.968750
step:15200 learning_rate= 0.003518 ctc_loss= 0.730255 sequence_distance= 0.015625 train_accuracy= 0.984375
step:15300 learning_rate= 0.003518 ctc_loss= 0.101960 sequence_distance= 0.015625 train_accuracy= 0.984375
step:15400 learning_rate= 0.003518 ctc_loss= 0.071113 sequence_distance= 0.000000 train_accuracy= 1.000000
step:15500 learning_rate= 0.003518 ctc_loss= 0.478300 sequence_distance= 0.015625 train_accuracy= 0.984375
step:15600 learning_rate= 0.003518 ctc_loss= 0.447939 sequence_distance= 0.028125 train_accuracy= 0.971875
step:15700 learning_rate= 0.003518 ctc_loss= 0.348787 sequence_distance= 0.040179 train_accuracy= 0.959821
step:15800 learning_rate= 0.003518 ctc_loss= 0.011890 sequence_distance= 0.000000 train_accuracy= 1.000000
step:15900 learning_rate= 0.003518 ctc_loss= 0.625224 sequence_distance= 0.031250 train_accuracy= 0.968750
step:16000 learning_rate= 0.003518 ctc_loss= 0.083991 sequence_distance= 0.000000 train_accuracy= 1.000000
step:16100 learning_rate= 0.002815 ctc_loss= 0.207581 sequence_distance= 0.015625 train_accuracy= 0.984375
step:16200 learning_rate= 0.002815 ctc_loss= 0.393335 sequence_distance= 0.018182 train_accuracy= 0.981818
step:16300 learning_rate= 0.002815 ctc_loss= 0.366512 sequence_distance= 0.015625 train_accuracy= 0.984375
step:16400 learning_rate= 0.002815 ctc_loss= 0.084544 sequence_distance= 0.000000 train_accuracy= 1.000000
step:16500 learning_rate= 0.002815 ctc_loss= 0.430708 sequence_distance= 0.070312 train_accuracy= 0.929688
step:16600 learning_rate= 0.002815 ctc_loss= 0.374814 sequence_distance= 0.008929 train_accuracy= 0.991071
step:16700 learning_rate= 0.002815 ctc_loss= 0.161657 sequence_distance= 0.000000 train_accuracy= 1.000000
step:16800 learning_rate= 0.002815 ctc_loss= 0.574963 sequence_distance= 0.008929 train_accuracy= 0.991071
step:16900 learning_rate= 0.002815 ctc_loss= 0.492591 sequence_distance= 0.010417 train_accuracy= 0.989583
step:17000 learning_rate= 0.002815 ctc_loss= 0.179627 sequence_distance= 0.004808 train_accuracy= 0.995192
step:17100 learning_rate= 0.002252 ctc_loss= 0.435249 sequence_distance= 0.017857 train_accuracy= 0.982143
step:17200 learning_rate= 0.002252 ctc_loss= 0.586806 sequence_distance= 0.071429 train_accuracy= 0.928571
step:17300 learning_rate= 0.002252 ctc_loss= 0.013686 sequence_distance= 0.000000 train_accuracy= 1.000000
step:17400 learning_rate= 0.002252 ctc_loss= 0.330980 sequence_distance= 0.007812 train_accuracy= 0.992188
step:17500 learning_rate= 0.002252 ctc_loss= 0.243710 sequence_distance= 0.000000 train_accuracy= 1.000000
step:17600 learning_rate= 0.002252 ctc_loss= 0.416253 sequence_distance= 0.000000 train_accuracy= 1.000000
